name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
Sonic the Hedgehog 2,"Kids & family, Comedy, Adventure, Fantasy, Animation",69%,182,96%,"5,000+",PG (Mild Language|Action|Rude Humor|Some Violence),2h 2m,2022,English,https://www.rottentomatoes.com/m/sonic_the_hedgehog_2
Ready Player One,"Sci-fi, Adventure, Action, Fantasy",72%,447,77%,"25,000+",PG-13 (Language|Bloody Images|Partial Nudity|Sci-Fi Action Violence|Some Suggestive Material),2h 20m,2018,English,https://www.rottentomatoes.com/m/ready_player_one
Ae Dil Hai Mushkil,"Drama, Musical, Music, Romance",53%,17,44%,"1,000+",,2h 35m,2016,Hindi,https://www.rottentomatoes.com/m/ae_dil_hai_mushkil
A Christmas Story Christmas,"Kids & family, Holiday, Comedy, Drama",79%,48,75%,500+,PG (Some Rude Material/Behavior|Language),1h 41m,2022,English,https://www.rottentomatoes.com/m/a_christmas_story_christmas
The Death of Stalin,"Comedy, History, Drama",94%,254,79%,"5,000+",R (Some Sexual References|Language Throughout|Violence),1h 47m,2017,English,https://www.rottentomatoes.com/m/the_death_of_stalin
Venom,"Action, Adventure, Fantasy, Sci-fi",30%,365,80%,"25,000+",PG-13 (Intense Sci-Fi Violence|Action|Language),1h 52m,2018,English,https://www.rottentomatoes.com/m/venom_2018
The Little Mermaid,"Kids & family, Musical, Fantasy, Romance",67%,346,94%,"10,000+",PG (Some Scary Images|Action/Peril),2h 15m,2023,English,https://www.rottentomatoes.com/m/the_little_mermaid_2023
Good Boy,"Mystery & thriller, Horror, Comedy",93%,15,45%,Fewer,R (Language|Some Violent Content),1h 19m,2022,Norwegian,https://www.rottentomatoes.com/m/good_boy_2022
Big George Foreman: The Miraculous Story of the Once and Future Heavyweight Champion of the World,"Biography, Drama, Sports",42%,52,96%,250+,PG-13 (Some Sports Violence),2h 9m,2023,English,https://www.rottentomatoes.com/m/big_george_foreman_the_miraculous_story_of_the_once_and_future_heavyweight_champion_of_the_world
"Red, White & Royal Blue","Romance, Comedy",76%,116,93%,"2,500+",R (Some Sexual Content|Partial Nudity|Language),1h 52m,2023,English,https://www.rottentomatoes.com/m/red_white_and_royal_blue
Icarus,Documentary,92%,51,93%,"2,500+",,1h 50m,2017,English,https://www.rottentomatoes.com/m/icarus_2017
Anthropoid,"History, Drama, War, Mystery & thriller",66%,106,71%,"5,000+",R (Violence|Some Disturbing Images),2h 0m,2016,English,https://www.rottentomatoes.com/m/anthropoid
Punch,"Drama, Lgbtq+, Sports",81%,21,80%,Fewer,,1h 38m,2022,English,https://www.rottentomatoes.com/m/punch_2023
You're All Gonna Die,"Horror, Mystery & thriller",--,,--,,,1h 29m,2023,English,https://www.rottentomatoes.com/m/youre_all_gonna_die
Trolls World Tour,"Kids & family, Musical, Comedy, Adventure, Fantasy, Animation",71%,161,58%,"1,000+",PG (Some Mild Rude Humor),1h 31m,2020,English,https://www.rottentomatoes.com/m/trolls_world_tour
Zodiac,"Crime, Drama, Mystery & thriller",90%,265,77%,"250,000+",R (Drug Material|Brief Sexual Images|Language|Some Strong Killings),2h 37m,2007,English,https://www.rottentomatoes.com/m/zodiac
Gerald's Game,"Horror, Mystery & thriller",91%,82,70%,"2,500+",TVMA,1h 43m,2017,English,https://www.rottentomatoes.com/m/geralds_game
Star Wars: The Rise of Skywalker,"Sci-fi, Adventure, Action, Fantasy",51%,527,86%,"50,000+",PG-13 (Sci-Fi Violence and Action),2h 22m,2019,English,https://www.rottentomatoes.com/m/star_wars_the_rise_of_skywalker
The Founder,"Biography, History, Drama",81%,248,82%,"25,000+",PG-13 (Brief Strong Language),1h 55m,2016,English,https://www.rottentomatoes.com/m/the_founder
Dalíland,"Biography, Drama",45%,67,96%,500+,,1h 37m,2022,English,https://www.rottentomatoes.com/m/daliland
The Princess Bride,"Kids & family, Adventure, Comedy",98%,83,94%,"250,000+",PG,1h 38m,1987,English,https://www.rottentomatoes.com/m/princess_bride
Captain Underpants: The First Epic Movie,"Kids & family, Comedy, Adventure, Animation",87%,138,62%,"10,000+",PG (Mild Rude Humor Throughout),1h 29m,2017,English,https://www.rottentomatoes.com/m/captain_underpants_the_first_epic_movie
DC League of Super-Pets,"Kids & family, Comedy, Adventure, Animation",72%,150,88%,"2,500+",PG (Language|Action|Mild Violence|Rude Humor),1h 46m,2022,English,https://www.rottentomatoes.com/m/dc_league_of_super_pets
Tár,"Drama, Music",91%,348,74%,250+,R (Some Language and Brief Nudity),2h 38m,2022,English,https://www.rottentomatoes.com/m/tar_2022
How to Train Your Dragon,"Kids & family, Fantasy, Adventure, Comedy, Animation",99%,214,91%,"250,000+",PG (Sequences of Intense Action|Brief Mild Language|Some Scary Images),1h 38m,2010,English,https://www.rottentomatoes.com/m/how_to_train_your_dragon
Infinity Pool,"Horror, Mystery & thriller, Sci-fi",87%,230,52%,250+,R,1h 57m,2023,English,https://www.rottentomatoes.com/m/infinity_pool_2023
Creed III,"Drama, Action",88%,338,96%,"5,000+",PG-13 (Some Strong Language|Intense Sports Action|Violence),1h 56m,2023,English,https://www.rottentomatoes.com/m/creed_iii
The Sea Beast,"Kids & family, Fantasy, Adventure, Comedy, Animation",95%,110,84%,"1,000+",PG (Action|Violence|Some Language),1h 55m,2022,English,https://www.rottentomatoes.com/m/the_sea_beast
Sick,"Horror, Mystery & thriller",87%,62,74%,500+,R (Strong Violence|Some Drug Use|Language Throughout|Terror),1h 23m,2022,English,https://www.rottentomatoes.com/m/sick_2022
Event Horizon,"Sci-fi, Horror",34%,90,61%,"50,000+",R,1h 35m,1997,English,https://www.rottentomatoes.com/m/event_horizon
Something from Tiffany's,"Romance, Comedy",70%,37,60%,100+,PG,1h 27m,2022,English,https://www.rottentomatoes.com/m/something_from_tiffanys
Soul,"Kids & family, Comedy, Adventure, Animation",95%,360,88%,"5,000+",PG (Thematic Elements|Some Language),1h 40m,2020,English,https://www.rottentomatoes.com/m/soul
Feast of the Seven Fishes,"Holiday, Comedy",88%,17,88%,50+,,1h 39m,2019,English,https://www.rottentomatoes.com/m/feast_of_the_seven_fishes
Free Solo,Documentary,98%,160,93%,"2,500+",PG-13 (Brief Strong Language),1h 40m,2018,English,https://www.rottentomatoes.com/m/free_solo
Hellbender,Horror,97%,67,55%,250+,,1h 26m,2021,English,https://www.rottentomatoes.com/m/hellbender
Uncharted,"Adventure, Action",40%,264,90%,"5,000+",PG-13 (Violence/Action and Language),1h 56m,2022,English,https://www.rottentomatoes.com/m/uncharted_2022
Pencils vs. Pixels,Documentary,100%,8,83%,Fewer,,1h 12m,2023,English,https://www.rottentomatoes.com/m/pencils_vs_pixels
When Evil Lurks,Horror,99%,98,80%,500+,,1h 39m,2023,Spanish,https://www.rottentomatoes.com/m/when_evil_lurks
Sinister,"Horror, Mystery & thriller",63%,158,62%,"50,000+",R (Some Terror|Disturbing Violent Images),1h 49m,2012,English,https://www.rottentomatoes.com/m/sinister_2012
Insidious,"Horror, Mystery & thriller",67%,177,62%,"100,000+",PG-13 (Frightening Images|Brief Strong Language|Terror|Thematic Material|Violence),1h 41m,2010,English,https://www.rottentomatoes.com/m/insidious
Vivarium,"Mystery & thriller, Sci-fi",73%,155,39%,"1,000+",,1h 37m,2020,English,https://www.rottentomatoes.com/m/vivarium
Home for the Holidays,"Holiday, Comedy",64%,50,72%,"10,000+",PG-13,1h 43m,1995,English,https://www.rottentomatoes.com/m/1066169-home_for_the_holidays
Me Before You,"Romance, Drama",54%,179,73%,"25,000+",PG-13 (Thematic Elements|Some Suggestive Material),1h 50m,2016,English,https://www.rottentomatoes.com/m/me_before_you
Joker,"Crime, Drama",69%,602,88%,"50,000+",R (Disturbing Behavior|Brief Sexual Images|Language|Strong Bloody Violence),2h 2m,2019,English,https://www.rottentomatoes.com/m/joker_2019
The Hunchback of Notre Dame,"Kids & family, Drama, Animation",71%,59,70%,"100,000+",G,1h 26m,1996,English,https://www.rottentomatoes.com/m/1073037-hunchback_of_notre_dame
The Courier,"Mystery & thriller, History, Drama",85%,216,95%,"1,000+",PG-13 (Partial Nudity|Brief Strong Language|Smoking Throughout|Violence),1h 51m,2020,English,https://www.rottentomatoes.com/m/the_courier
Scent of a Woman,"Holiday, Drama",85%,48,92%,"100,000+",R,2h 37m,1992,English,https://www.rottentomatoes.com/m/1042193-scent_of_a_woman
Finch,"Sci-fi, Drama",74%,173,67%,"1,000+",PG-13 (Brief Violent Images),1h 55m,2021,English,https://www.rottentomatoes.com/m/finch
Lady Bird,"Comedy, Drama",99%,401,79%,"10,000+",R (Language|Brief Graphic Nudity|Sexual Content|Teen Partying),1h 34m,2017,English,https://www.rottentomatoes.com/m/lady_bird
"""Sr.""",Documentary,97%,60,89%,100+,R (Language and Some Drug Use),1h 30m,2022,English,https://www.rottentomatoes.com/m/sr
The Captain,"History, Drama, War",83%,53,84%,500+,,1h 58m,2017,German,https://www.rottentomatoes.com/m/the_captain_2017
Big,"Kids & family, Comedy, Fantasy",98%,80,82%,"250,000+",PG,1h 44m,1988,English,https://www.rottentomatoes.com/m/big
True Grit,Western,88%,56,84%,"25,000+",G,2h 8m,1969,English,https://www.rottentomatoes.com/m/true_grit
The LEGO Batman Movie,"Kids & family, Comedy, Adventure, Action, Animation",89%,314,80%,"25,000+",PG (Rude Humor and Some Action),1h 46m,2017,English,https://www.rottentomatoes.com/m/the_lego_batman_movie
Theater Camp,"Comedy, Drama",85%,164,79%,500+,PG-13 (Some Strong Language|Suggestive/Drug References),1h 34m,2023,English,https://www.rottentomatoes.com/m/theater_camp
Stop Making Sense,"Documentary, Music",100%,67,97%,"5,000+",PG (Brief Suggestive Material),1h 28m,1984,English,https://www.rottentomatoes.com/m/stop_making_sense
Spencer,"Biography, Drama",83%,359,52%,500+,R (Some Language),1h 51m,2021,English,https://www.rottentomatoes.com/m/spencer_2021
Murder at Yellowstone City,Western,24%,21,59%,50+,,2h 6m,2022,English,https://www.rottentomatoes.com/m/murder_at_yellowstone_city
War Machine,"War, Comedy",48%,96,34%,"5,000+",TVMA,2h 2m,2017,English,https://www.rottentomatoes.com/m/war_machine_2016
Nandor Fodor and the Talking Mongoose,"Comedy, Mystery & thriller, Adventure",46%,35,65%,50+,PG-13 (Brief Partial Nudity|Some Strong Language|Smoking Throughout),1h 36m,2023,English (United Kingdom),https://www.rottentomatoes.com/m/nandor_fodor_and_the_talking_mongoose
Mad Max: Fury Road,"Action, Adventure",97%,439,86%,"100,000+",R (Intense Sequences of Violence|Disturbing Images),2h 0m,2015,English,https://www.rottentomatoes.com/m/mad_max_fury_road
Mr. Jones,"History, Drama, Biography, Mystery & thriller",86%,106,--,100+,,1h 58m,2019,English,https://www.rottentomatoes.com/m/mr_jones_2019
The Rider,"Drama, Western",97%,191,82%,"1,000+",R (Language and Drug Use),1h 44m,2017,English,https://www.rottentomatoes.com/m/the_rider
Stardust,"Biography, Drama, Music",19%,73,22%,50+,,1h 49m,2020,English,https://www.rottentomatoes.com/m/stardust_2020
Inglourious Basterds,"War, Comedy, Drama",89%,335,88%,"250,000+",R (Language|Brief Sexuality|Strong Graphic Violence),2h 32m,2009,English,https://www.rottentomatoes.com/m/inglourious_basterds
Pitch Perfect,"Musical, Comedy, Romance",82%,157,83%,"100,000+",PG-13 (Language|Drug References|Sexual Material),1h 52m,2012,English,https://www.rottentomatoes.com/m/pitch_perfect
Fresh,"Horror, Comedy, Drama, Mystery & thriller",81%,208,81%,"1,000+",R,1h 54m,2022,English,https://www.rottentomatoes.com/m/fresh_2022
RUSHED,"Mystery & thriller, Crime",90%,10,88%,100+,,1h 41m,2021,English,https://www.rottentomatoes.com/m/rushed
Back to the Future Part III,"Comedy, Sci-fi, Western, Fantasy, Adventure",80%,46,78%,"250,000+",PG,1h 58m,1990,English,https://www.rottentomatoes.com/m/back_to_the_future_3
Strays,Comedy,53%,171,69%,"1,000+",R (Drug Use|Crude and Sexual Content|Pervasive Language),1h 33m,2023,English,https://www.rottentomatoes.com/m/strays_2023
The Noel Diary,"Holiday, Comedy, Drama",69%,16,65%,250+,,1h 39m,2022,English,https://www.rottentomatoes.com/m/the_noel_diary
The Boogeyman,"Horror, Mystery & thriller",60%,194,66%,"1,000+",PG-13 (Teen Drug Use|Some Strong Language|Terror|Violent Content),1h 38m,2023,English,https://www.rottentomatoes.com/m/the_boogeyman
Beastie Boys Story,"Documentary, Music",94%,85,85%,250+,,1h 59m,2020,English,https://www.rottentomatoes.com/m/beastie_boys_story
Black Is King,Music,94%,68,90%,"2,500+",TV14,1h 25m,2020,English,https://www.rottentomatoes.com/m/black_is_king
Hell on the Border,Western,40%,5,24%,Fewer,R (Violence and Language),1h 27m,2019,English,https://www.rottentomatoes.com/m/hell_on_the_border
Passengers,"Sci-fi, Adventure, Mystery & thriller, Romance",30%,288,63%,"50,000+",PG-13 (Nudity|Action/Peril|Sexuality),1h 51m,2016,English,https://www.rottentomatoes.com/m/passengers_2016
Torn,"Documentary, Sports & fitness",100%,19,89%,Fewer,,1h 32m,2021,English,https://www.rottentomatoes.com/m/torn_2021
Paddington 2,"Kids & family, Comedy, Adventure",99%,253,88%,"5,000+",PG (Some Action|Mild Rude Humor),1h 43m,2017,English (United Kingdom),https://www.rottentomatoes.com/m/paddington_2
Bohemian Rhapsody,"Biography, History, Drama, Music, Lgbtq+",60%,421,85%,"10,000+",PG-13 (Language|Drug Content|Suggestive Material|Thematic Elements),2h 15m,2018,English,https://www.rottentomatoes.com/m/bohemian_rhapsody
Ford v Ferrari,"History, Drama, Biography",92%,361,98%,"10,000+",PG-13 (Some Language and Peril),2h 32m,2019,English,https://www.rottentomatoes.com/m/ford_v_ferrari
Meet Me in the Bathroom,"Documentary, Music",74%,50,64%,Fewer,,1h 47m,2022,English (United Kingdom),https://www.rottentomatoes.com/m/meet_me_in_the_bathroom
Barbie,Comedy,88%,480,83%,"10,000+",PG-13 (Suggestive References|Brief Language),1h 54m,2023,English,https://www.rottentomatoes.com/m/barbie
The Exorcist: Believer,"Horror, Mystery & thriller",22%,246,59%,"1,000+",R (Language|Disturbing Images|Sexual References|Some Violent Content),1h 51m,2023,English,https://www.rottentomatoes.com/m/the_exorcist_believer
The Deepest Breath,"Documentary, Biography, Sports",84%,62,93%,100+,PG (Language|Unsettling Images|Some Intense Peril),1h 48m,2023,English,https://www.rottentomatoes.com/m/the_deepest_breath
Promising Young Woman,"Comedy, Mystery & thriller",90%,427,87%,500+,R (Language Throughout|Drug Use|Sexual Assault|Some Sexual Material|Strong Violence),1h 53m,2020,English,https://www.rottentomatoes.com/m/promising_young_woman
Alita: Battle Angel,"Sci-fi, Action, Adventure, Fantasy, Animation",62%,330,91%,"25,000+",PG-13 (Sequences of Sci-Fi Violence|Action|Some Language),2h 2m,2019,English,https://www.rottentomatoes.com/m/alita_battle_angel
Once Upon a Time... In Hollywood,"Comedy, Drama",85%,584,70%,"25,000+",R (Language Throughout|Drug Use|Sexual References|Some Strong Graphic Violence),2h 39m,2019,English,https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood
A Quiet Place,"Horror, Sci-fi, Mystery & thriller",96%,387,83%,"25,000+",PG-13 (Terror and Some Bloody Images),1h 30m,2018,English,https://www.rottentomatoes.com/m/a_quiet_place_2018
Star Wars: The Force Awakens,"Sci-fi, Adventure, Action, Fantasy",93%,453,85%,"100,000+",PG-13 (Sci-Fi Action Violence),2h 16m,2015,English,https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens
Plane,"Action, Adventure, Mystery & thriller",78%,171,94%,"1,000+",R (Violence and Language),1h 47m,2023,English,https://www.rottentomatoes.com/m/plane
Empire of Light,"Romance, Drama",45%,256,74%,50+,R (Language|Brief Violence|Sexual Content),1h 59m,2022,English,https://www.rottentomatoes.com/m/empire_of_light
Captain America: Civil War,"Action, Adventure, Fantasy",91%,430,89%,"100,000+",PG-13 (Extended Sequences of Violence|Action and Mayhem),2h 26m,2016,English,https://www.rottentomatoes.com/m/captain_america_civil_war
The Glass Castle,"Biography, Drama",52%,165,70%,"5,000+",PG-13 (Mature Thematic Content|Family Dysfunction|Smoking|Some Language),2h 7m,2017,English,https://www.rottentomatoes.com/m/the_glass_castle_2017
The Blackening,"Comedy, Horror",87%,145,85%,"1,000+",R (Pervasive Language|Drug Use|Violence),1h 37m,2022,English,https://www.rottentomatoes.com/m/the_blackening
Respect,"Biography, Drama, Music",68%,192,95%,"2,500+",PG-13 (Racial Epithets|Mature Thematic Content|Violence|Smoking|Strong Language|Suggestive Material),2h 25m,2021,English,https://www.rottentomatoes.com/m/respect_2021
Black Crab,"Action, Adventure, Sci-fi",52%,31,54%,250+,,1h 50m,2022,Swedish,https://www.rottentomatoes.com/m/black_crab
Mission: Impossible - Fallout,"Action, Adventure, Mystery & thriller",97%,442,88%,"10,000+",PG-13 (Intense Sequences of Action|Brief Strong Language|Violence),2h 27m,2018,English,https://www.rottentomatoes.com/m/mission_impossible_fallout
In a Valley of Violence,Western,78%,73,51%,"2,500+",R (Violence and Language),1h 44m,2016,English,https://www.rottentomatoes.com/m/in_a_valley_of_violence
Monster Hunter,"Fantasy, Adventure, Action",44%,100,70%,"1,000+",PG-13 (Violence Throughout|Sequences of Creature Action),1h 43m,2020,English,https://www.rottentomatoes.com/m/monster_hunter
Past Lives,"Romance, Drama",97%,257,92%,"1,000+",PG-13 (Some Strong Language),1h 46m,2023,English,https://www.rottentomatoes.com/m/past_lives
Robert the Bruce,"History, Drama, War",44%,52,60%,100+,,2h 4m,2019,English,https://www.rottentomatoes.com/m/robert_the_bruce
Midsommar,"Horror, Mystery & thriller",83%,404,63%,"5,000+",R (Drug Use|Disturbing Ritual Violence|Strong Sexual Content|Graphic Nudity|Grisly Images|Language),2h 25m,2019,English,https://www.rottentomatoes.com/m/midsommar
The 355,"Action, Mystery & thriller",24%,228,86%,"1,000+",PG-13 (Sequences of Strong Violence|Brief Strong Language|Suggestive Material),2h 2m,2022,English,https://www.rottentomatoes.com/m/the_355
Fast X,"Action, Adventure",56%,313,84%,"5,000+",PG-13 (Intense Sequences of Violence|Action|Language|Some Suggestive Material),2h 21m,2023,English,https://www.rottentomatoes.com/m/fast_x
INU-OH,"Fantasy, Anime, Musical",91%,57,88%,50+,PG-13,1h 37m,2021,Japanese,https://www.rottentomatoes.com/m/inu_oh
Parasite,"Comedy, Mystery & thriller, Drama",99%,483,90%,"5,000+",R (Sexual Content|Language|Some Violence),2h 12m,2019,Korean,https://www.rottentomatoes.com/m/parasite_2019
Heist 88,"Crime, Drama",33%,6,43%,50+,,1h 24m,2023,English,https://www.rottentomatoes.com/m/heist_88
Back to the Future,"Comedy, Sci-fi, Fantasy, Adventure",93%,110,94%,"250,000+",PG,1h 56m,1985,English,https://www.rottentomatoes.com/m/back_to_the_future
Troy,"Adventure, War, Action, History, Drama",53%,228,73%,"250,000+",R (Nudity|Graphic Violence|Some Sexuality),2h 42m,2004,English,https://www.rottentomatoes.com/m/troy
Knives Out,"Mystery & thriller, Comedy, Drama",97%,475,92%,"25,000+",PG-13 (Drug Material|Brief Violence|Sexual References|Some Strong Language|Thematic Elements),2h 10m,2019,English,https://www.rottentomatoes.com/m/knives_out
